username,rating,review,date,thumbs_up,sentiment
Muhammad nuri,1,driver aneh suka menyetujui orderan double dan cs nya tidak menyelesaikan masalah dengan baik lain kali kalau ga niat kerja gausah mending nganggur sekalian Marik banget ACC orderan double bukannya di kabarin dari awal malah di kabarin di tengah tengah kalau ga perlu cepat ngapain pesan gojek aplikasi gojek sangat buruk,2025-12-08,0,negatif
Mayani Mahfudin,5,menyenangkan karena sikap drivernya bersahabat,2025-12-08,0,positif
Aida Yustika Wulandari,2,"gocar diperlukan pd saat hujan, tpi drivernya ga ada yg mau nerima orderan pdhal sdh ambil prioritas☺",2025-12-08,0,negatif
Zahara Douglas,5,gojek super gemat banyak promo dan sangat cepat sampai,2025-12-08,0,positif
kempling kempling,5,paket hematnya membuat irit d kantong,2025-12-08,0,positif
mhdallief samudra,1,"makin susah dpt driver, mereka gamau ambil karena bayaran nya kecil, tutup aja aplikasi nya kalo masih kaya gtuu, saya ketinggalan kerja karena di cancel Mulu",2025-12-08,0,negatif
erlin irmawa irmawa,5,terimakasih atas jasa nya,2025-12-08,0,positif
Daud Nababan,1,"ini nunggu driver aja lama banget sih, kalo di peta tunjukan apa adanya Jangan dimanipulasi dengan menjauhkan peta biar titik mobil supaya kesannya udh Deket sama kita.hadeh dongo naik bajaj kan gw",2025-12-08,0,negatif
boboy oboy,1,mau login aja di suruh nunggu 30 jam anehh ini app,2025-12-08,0,negatif
Nindita Transport,5,jossssssss banyak promo,2025-12-08,0,positif
Lintang Satrio,1,drivers gocar sering batalkan pesanan,2025-12-08,0,negatif
Reza Anjay,1,"aplikasi busuk udah lama ga di benerin vermuknya ,habis reset hape terus login lagi pake data yang sama dan kamera jernih tetap aja gagal terus vermuxnya app lain normal² aja gojek doang sama gopay sistemnya ga di bener²in",2025-12-08,0,negatif
PT Shandy Putra Business,5,Biar bintang yang berbicara 🙏,2025-12-08,0,positif
seir teti,5,menyenangkan,2025-12-08,0,positif
Rendi Rendi,5,sangat membantu,2025-12-07,0,positif
mar yono (Maryono),5,semoga selalu meningkatkan mutu dan layanan jg kesejahteraan mitranya,2025-12-07,0,positif
adek suhendra,1,telat makanan 2jam ga bisa dibatalin!!!,2025-12-07,0,negatif
Surya Ali,1,kalo malem lemot banget dapet drivernya pesanannya lama banget nunggunya dari jam 8 malem sampe jam setengah 10 mlm baru di anter. kurang nyaman kalo dapet sama customer lain,2025-12-07,0,negatif
Iskarr,1,emang paling males gua pake aplikasi GO-JEK ini kalo bukan karena abang abang ojolnya udah gua uninstall dari dulu ini diskon di hampir semua resto langganan gua ilang resto yang diskon nya gak ilang ongkir nya jadi naik mulai dari 6 ribu sampe 18 ribu padahal gak mendung gak ujan emang taik management nya,2025-12-07,0,negatif
Muhamad Rizky Fatahillah,5,Go transitnya eror,2025-12-07,0,positif
Jujun Komara,5,the real super hero indonesia,2025-12-07,0,positif
SILVIA,3,"sering leleeeeeet ya lwpn cache nya udh d bersihkan jg, sering update jg ...",2025-12-07,0,netral
solie lay,2,semakin hari semakin mahal ongkos naik terus ga stabil ga mau pake gojek lg saya semakin cekek leher org mahalnya masih mendingan grab lebih stabil harganya,2025-12-07,0,negatif
tika Sartika,5,lancar dan aman,2025-12-07,0,positif
akhtar Auzar,1,"lama bet oi, gw nunggu makan gw 2 jam diaplikasinya bilang 50 menit tapi gw nunggunya 2 jam, kalo ga niat buat aplikasinya mending apus aja",2025-12-07,0,negatif
unsija banten,5,"Alhamdulillah ga pernah ada masalah selama make jasa gojek,,,,",2025-12-07,0,positif
Muhammad Rio Saputra,1,"sistem kau beneri jarak jempot resto min 500 meter,kalo emng jauh balek ke semula sdh sampai di resto nyo biso jarak jauh,kalo ck ini beken rugi driver..bensin dibeli bos bkn di subsidi kau..!!segalo nyo driver modal dewek kau cmn ngambek untung,untung sdh besak maseh be nak susahke driver susah nyo pas ujan orderan mental jauh jauh apo lagi dapet resto pasti cansel by sistem ngotak dikit gojekk pahami keluh kesah driver nihh jangan nak semana mena",2025-12-07,0,negatif
Rio Wijaya,4,apk terbaik,2025-12-07,0,positif
Dede Maulana,5,apikasi mudah pemesan delver motor beli pulas murah naik krel juga mura belaja hemat ada disokon terimkasi,2025-12-07,0,positif
IYAND PUTRA,1,"terlalu lama menunggu makanan.. bayangin 3jam makanan juga blm kunjung datang. masa ia resto proses makanan sampai 3 jam, minta di batalkan malah suruh robot balas chat, alhasil gak kuncung di batalkan, kasihan driver jadi bahan amukan cs gegara sistem gojek kurang professional",2025-12-07,0,negatif
Rahmat Fahri,4,banyakin promo biar org sedunia pakai gojeq,2025-12-07,0,positif
Risma Wati,2,saya pesen driver malah susah cari nya katanya pas udah dapet rating saya jelek jadi draiver mau ambil orderan saya ragu² setiap saya order itu buru² jadi kalau mau ngasih rating itu gak sempet udah ada waktu saya nya lupa itu gimna sih perkara rating aja sampai sudah cari draiver gak bisa di andelin apalgi saya lagi di kejar waktu terus pernah ada saya order malah suruh di batalin sama draiver nya🙄,2025-12-07,0,negatif
Tonkq toto,5,tepat waktu,2025-12-07,0,positif
L Ryuzaki,5,banyak promo nya,2025-12-07,0,positif
Dika Julkian,1,"pesen go food abang gojeknya dpt 2 order berbeda resto, alhasil nunggunya 2 kali dari biasa, tolong lah balikin lagi sistem order kaya dulu, yg 1 driver antar 1 orderan... jangan cuma mau pajaknya aja di ambilin GOJEK, kualitasnya juga di jaga...",2025-12-07,0,negatif
Govetea Tea,4,jemputnya slalu d belakang jd harus muter saya driver trus maf knp sering error,2025-12-07,0,positif
Kina Luna,5,"cepat, aman dan mantap",2025-12-07,0,positif
Akhmad Rizky Dwi S,1,tidak tahu kenapa baru saja isi saldo gopay langsung hangus aja itu saldo. baru juga dwld lagi setelah 2 tahun hapus aplikasi,2025-12-07,0,negatif
Nurul Isnaini,1,"SUSAH DAPAT DRIVER, DAPATNYA LAST MINUTE BANGET TERUS HARUS NUNGGU MAKANANNYA DIBUAT? WASTING TIME JIR ORG LAPER",2025-12-07,0,negatif
Dera Aprianti,1,"sangatt buruk, udah 2 kali pesann, di batalkan terus menerus, kecewaa beratt",2025-12-07,0,negatif
Wafit Dinarto,5,Sahabat setiap saat,2025-12-07,0,positif
Mouli Maharani Putri,1,Makin MAHAL aja tu Ongkosnya Pulang pergi biasa nya Naek Gojek Motor ngabisin 60 rb an sekarang bisa habis hampir 100 rb padahal tempatnya gak terlalu jauh,2025-12-07,0,negatif
Fachry Grab,1,Argonya terlalu mencekik untuk driver.,2025-12-07,0,negatif
Yuli Hera,1,setiap minta jemput di censel mulu,2025-12-07,0,negatif
Dantje Siagian,5,teman setiap hari,2025-12-07,0,positif
Ahitofel Jevon Ambi Patiran,2,"Selalu dikasih driver yang jauh, driver yang dekat banyak tapi gk ada yg mau ngambil. Lama lagi nyarinya, masa kita disuruh ngehabisin waktu 15 menit buat nunggu motor?",2025-12-07,0,negatif
Junaedy Saputra,1,"pengalaman buruk, beberapa kali pesen gocar kadang di cancel, kadang drivernya aneh, kadang drivernya lebih galak.. lebih baik ke aplikasi sebelah",2025-12-07,0,negatif
Afif Amrullah,5,"Gojek sangat membantu, semoga makin exist.",2025-12-07,0,positif
IIS Smtra,1,go pinjam mu itu hanya abal2...gw hapus aplikasi ngga berguna ini,2025-12-07,0,negatif
silvia rahma,5,aplikasi ini aman digunakan saya suka sekali...,2025-12-07,0,positif
Guntolodhon,1,ga bisa batalin psenan,2025-12-07,0,negatif
wongirengpelir e123,5,keren selalu make gojek,2025-12-07,0,positif
Violet Evergarden,1,fungsi ekonomis kalau nggak bisa dipakai,2025-12-07,0,negatif
Robi Zulkarnain,1,harus nyari driver yang lebih baik siu,2025-12-07,0,negatif
8b Kevin Wu,1,banyak eror,2025-12-07,0,negatif
Ari Susanti,1,"Beberapa kali dapat driver di Jember dan di Malang sikapnya Allahu Akbar sekali. Pernah pesan gofood untuk ibu dr kantor. Ibu crita kalau dibentak2 driver karena tidak segera ngambil makanan di depan rumah padahal ibu sudah renta dan jarak dapur ke depan itu lumayan, jalan pun butuh waktu. udah disautin dr dalam pun driver gak denger. Pernah dikatain dg kata2 kasar juga oleh driver gojek. Subhanallah, saya uninstall dg pengalaman seburuk ini.",2025-12-07,0,negatif
WIDUWIE DWI,5,"sekarang suka bgt sama aplikasi gojek, lebih mudah dipahami, murah, dan akurat",2025-12-07,15,positif
Imam Foodie,5,Oke deh mantap,2025-12-07,0,positif
Ziand Febriand,5,good and good,2025-12-07,0,positif
Desi Sulist,5,cepet banget,2025-12-07,0,positif
Bayu Alkhadi,2,"aneh bgt, pesan sekali malah dapat 2 driver 😑",2025-12-07,0,negatif
marganti gulo,5,saya senang apapun yang bisa pesan selalu datang pada waktunya...terimakasih ....,2025-12-07,0,positif
Yudhistiraaa,1,"suka ganti ganti alamat, masalah lokasi selalu tidak akurat jarak, saat saya pesan gofood alamat tujuan selalu berubah giliran mau batalin pesanan dengan alasan mau ganti alamat, malah gabisa..🤬",2025-12-07,0,negatif
Arsyila Shaqueena,3,"skrg mh mahal ya , TRus gda yg hemat. suka eror Lg.",2025-12-07,0,netral
Solehani Susilowati,5,sangat ontime dan visual,2025-12-07,0,positif
Bagus Tea,3,buat A reward nya apakah cuma asal swap trus dapet nya suruh coba besuk di setiap hari nya..berarti 0 orang sih yang dapet reward max di tiap hari nya,2025-12-07,0,netral
Dedi Iskandar,5,aplikasi rekomend,2025-12-07,0,positif
Joniadipratama,1,kepencet Gofood gak bisa dibatalalin rugii banyakk,2025-12-07,0,negatif
Nasaka,5,mantap gojek 👍,2025-12-07,0,positif
M Barin,2,Aplikasi kikir 😬,2025-12-07,0,negatif
Ahmad Sulaeman,5,saya mudah di akses,2025-12-07,0,positif
Wahyu R,5,sangat memuaskan.pelayananya ramah,2025-12-07,0,positif
Heri Sugiarto,5,"supir ramah dan profesional,respon aplikasi cepat",2025-12-07,0,positif
Syofie Rizky,5,Aplikasi gofood jd P3k klo udah laper...dpat banyk diskon jd semangat tuk pesen.. terimakasi,2025-12-07,0,positif
Resti Aqila,5,"Enak banget pakai aplikasi GO-JEK dan mudah bgt pesen makanan, dan jg banyak bgt voucher diskon Belanja👍🏻👍🏻",2025-12-07,0,positif
Rhahmatul Laillie,5,selalu terdepan,2025-12-07,0,positif
Exp,2,jlk bngt + lama,2025-12-07,0,negatif
Sifa Nurlatifa,1,"aplikasi jelek, maksa banget suruh update ke gopay plus udah buru2 mau transaksi disuruh update mulu gabisa di close, pemaksaan!",2025-12-07,0,negatif
Rahma Wita,5,sejauh ini pakai gojek nyaman sya pengguna lama tingkatkan trus ya biar makin oke titik maps nya jga akurat,2025-12-07,0,positif
Justin Jaconia,1,akun saya ke banned padahal yang nyuruh cancel drivernya jadinya saya kena blockir apk di liran minta banding di tolak,2025-12-07,0,negatif
Siti Fatimah,5,bagusss banget,2025-12-07,0,positif
Candra Wijaya,1,"telat sehari bayar pay later denda 50k, ga ngotak",2025-12-07,0,negatif
Maya Maya,5,Mantap 👍 Sangat bermanfaat 👍👍,2025-12-07,0,positif
newflylifez,1,"Baru make,lama banget ya Allah,gw udh pk pengiriman yang express gaada driver nya,gw udah nunggu 3 jam gaada tuh makanan",2025-12-07,0,negatif
henzx fx,1,"update mulu, tapi gk ada perubahan",2025-12-07,0,negatif
Tedi,5,"cepat tiba di penjemputan, supir ramah..di Siantar ramah kantong",2025-12-07,0,positif
Dhani Dina,5,baguss dan pelayanannya ok,2025-12-07,0,positif
Aria Wirawan,5,aplikasi terbaik di kelasnya,2025-12-07,0,positif
adhie sevenfold32,5,sangat membantu terbaik pokoknya,2025-12-07,0,positif
Nurhasanah,5,"sangat membantu, Terimakasih sehat2 selalu buat para Gojek...",2025-12-07,0,positif
Saepudin Udin,5,senang sekali memakai aplikasi gojek ini,2025-12-07,0,positif
Bapak Rugal,1,PARA DRIVER SEPERTI TIDAK NIAT! ADA YANG TIDAK MERESPON PESAN! ADA JUGA YANG MERESPON SEPERTI TEMPLATE SAJA! BAHKAN DI MAPS DRIVER TIDAK BERGERAK SAMA SEKALI PADAHAL SUDAH 20 MENIT TERLEWAT!! PECAT SAJA DRIVER SEPERTI ITU! GK GUNA!,2025-12-07,0,negatif
Mispadela Riski,1,"aplikasi gak mutu, ada temen salah ngirom ke nomer gopay, malah ke nomer gopay akun lama, saat mau masuk ke akun tersebut tidak bisa, sudah bikin laporan 2x ditolak padahal udah pake ktp, dasarnya mau nilep duit ya gini nih",2025-12-07,0,negatif
Sanya Aurel,5,suka pake gojek banyak promo,2025-12-07,0,positif
Angling Darma,5,suka banget,2025-12-07,0,positif
Ana Safitri,5,bnyak promo dan pilihan yang menarik,2025-12-07,0,positif
miquito DIAS,5,bagus sekali,2025-12-07,0,positif
Zaenal Abidin,2,kenapa sih supir gak respon susah pake alesan segala macem kalau gak mau ambil pesanan jgn aktif.,2025-12-07,0,negatif
Rifki Surya Ananda,1,"kalo abis hujan bener bener susah nyari driver, hujan berhenti dari 4 jam yang lalu padahal, kalo baru berhenti gapapa deh",2025-12-07,0,negatif
Pamela Qpw,1,jelekk pelayan aplikasi sering eror,2025-12-07,0,negatif
Gitajuwita,1,"Tolong ya gojek ditingkatkan lagi dong layanannya, pagi pagi buta saya tiba tiba di call driver disuruh bayar tagihan gofood padahal saya sendiri lagi tidur dan ngga lagi pesan apapun (saya tidak sedang mabuk ya) sudah dua kali ya dengan hp yang berbeda kejadian seperti ini, tiba tiba apk gojeknya memesan makanan yang saya masukan keranjang tanpa pemberitahuan mana tidak bisa dibatalkannya, tolong dong males banget pakenya.",2025-12-07,0,negatif
Ardiansa Saputra,1,ga jelas aplikasi sekarang,2025-12-07,0,negatif
Padil Bumbum,1,"yang bener sedikit dongg... masa cuma 5km nungguin ny harus satu jam setengah baru dapat driver, kalo kerja yg bner dong sistem nya... customer yg dirugikan, mana nungguin nya lama banget.! TOLONG DIBACA DAN DIPERBAIKI JANGAN TERLALU BUAT CUSTOMER MENUNGGU KARNA SANGAT KECEWA SEKALI!!!!!",2025-12-07,1,negatif
Dicky Wahyudi,4,"Di aplikasi Gojek terdapat fitur Goinvestasi untuk jual beli emas & Reksadana. Melihat harga emas saat ini yang cukup mahal, semoga terdapat fitur jual beli perak murni, dimana harga perak murni lebih terjangkau dan bisa digunakan untuk investasi atau tabungan jangka panjang. Terimakasih.",2025-12-07,0,positif
Poppy Pinkany,5,sangat memuaskan,2025-12-07,0,positif
Sinta Agustina 2008,1,"sering posisi driver tidak bergerak, batalin booking utk cari driver baru juga lama..",2025-12-07,0,negatif
irfan susanto,4,okay rasanya pedes mantul,2025-12-06,0,positif
Gloria Gloria,1,"Tolong aplikasi Gojek di benahi lagi, masa 4 kali ulang² cari driver berjam jam ga ketemu, harus ulang ulang terus mesan makanan dan tetap ga ketemu drivernya, aneh.",2025-12-06,1,negatif
Joshua Vincent Brilliant Etnanta,2,"Notifikasi di aplikasi sering bermasalah. Pesanan makanan sudah sampai tapi tidak ada notif, jadi tiba-tiba driver sudah telpon dari depan rumah. Kalau ada kendala, seller juga chat tapi notifnya nggak masuk, jadi pesannya numpuk tanpa saya tau. Saya jadi nggak enak sama seller dan driver karena terlihat tidak responsif. Tolong perbaiki masalah notifikasi ini karena benar-benar mengganggu pengalaman pakai aplikasi. Padahal beberapa tahun lalu sepertinya tidak begini.",2025-12-06,10,negatif
Darto To,5,tiba tiba menghilang,2025-12-06,0,positif
sendy kurniawan,5,ok aja dan B aja,2025-12-06,0,positif
Pisang Ijo & Es Teler Kembar Makassar,1,"AKIBAT KEBIJAKAN GOJEK, resto saya rugi. masa ia pendapatan kotor 750 ribu, bersihnya cuman dapat 289 ribu jadinya SEKITAR 62% Di potong oleh gojek. mengikuti promo DISKON+IKLAN . woi GOJEK GUA YANG KERJA BUKA USAHA LU YANG AMBIL UANG KERINGAT SAYA POTONGANNYA MELEBIHI PENDAPATAN RESTO. UNTUK UMKM YANG BERADA DI GOJEK SAYA SARANKAN UNTUK TIDAK MENGIKUTI DISKON+IKLAN DARI GOJEK. KEBIJAKAN GOJEK SEPERTI MENCURI UANG DARI USAHA KECIL DARI UMKM DAN Mematikan PERLAHAN USAHA ANDA.",2025-12-06,1,negatif
giska Annajah,1,"apk macam apa ini, banyak driver tiba"" cansel se enak jidat",2025-12-06,0,negatif
M SATRIA BOOSSQYUUUEE,5,Claim to bonus promo transportasi.,2025-12-06,0,positif
Xptrii.,1,gajelas susah bgt dpt driver pdhl uda dpt diskon,2025-12-06,0,negatif
sujono jono,5,mantap transportasi yg sangan mndukung dan terjangkau,2025-12-06,0,positif
Royal Royal,1,"pesen gofood pake expres 1 jam lebih ga dpt2 pengantar, minta batalin CS nya kerja nya lambat, jawaban formalitas terus, ditunggu ditunggu taunya tutup warung nya, ha ha ha makin lucu aja kalian ini, dikira nunggu itu bercanda sampe lama.",2025-12-06,0,negatif
sahanen sahanen,5,Secara keseluruhan bagus dan safety sampai dengan rating ini diberikan.,2025-12-06,0,positif
aysel kellan,1,fitur gomart sangat amat jelek,2025-12-06,0,negatif
Cantiknona Nonanaona,1,TOLONG YA SAYA SUSAH BANGET DAPAT DRIVER !!!!,2025-12-06,0,negatif
Fikri Ardana,1,Aplikasi lelet apalagi gofoodnya..menyebalkan,2025-12-06,1,negatif
Annisa Rahma Fauziah,1,"baru sekali langganan gojek plus terus ga langganan lagi, eh saya ga pernah dapat voucher lagi dari gojek",2025-12-06,1,negatif
Tri Wahyuningsih,4,"tolong gojek perbaiki,kalau pesan makan di gofood kalau salah alamat bisa diedit alamatnya...krn kalau kendala cuaca buruk dan sinyalnya jelek jd titik kadang suka ngaco...astaga...jd saya harus jemput makanan saya ke titik yg ngaco itu dan gak bisa kirim link google maps untuk shareloc alamat yg benarnya......kasian juga drivernya ...jadinya sama aja pakai kurir juga tetep keluar rumah mending ngambil langsung ke restonya... tolong perbaiki ya gojek",2025-12-06,1,positif
Rahma Liwani,5,lengkap banget pwis semua adaa,2025-12-06,0,positif
Chelsea Rossa Aprilia,3,"setiap pesen makanan ada aja kalo dari drivernya ngomong yg secara ngebentak, perkara maps salah kan ga semua maps bisa bener arah rumahnya jadi gaperlu ngomong yg bikin customer sakit hati, itu aja sih",2025-12-06,1,netral
andi jus,5,sangat membantu perjalanan kami,2025-12-06,0,positif
Yusuf Ramdani,1,pesen gocar susah banget dapet driver nya pada jauh2 dan driver nya pada gak respon,2025-12-06,1,negatif
Zulaekah,1,jelek banget. pelayanan kurang optimal.,2025-12-06,1,negatif
Tn.,1,"apk jelek, pick up penumpang aja nyarinya lama. untuk kedepannya tolong seleksi lagi driver drivernya, mereka pada niat untuk kerja atau enggaaa. saya muak menunggu lebih dari 1 jam, di map banyak driver di sekitar tpi tidak ada satupun yang mau pick up. saya sudah muak dengan apk ini, dan saya berjanji untuk tidak menggunakan apk ini seumur hidup saya.",2025-12-06,17,negatif
Fadilah Rahmawati,1,"LAMA BANGET DAPET DRIVERNYA KADANG NUNGGU 30MENIT - 1 JAM BARU KETEMU DRIVERNYAA, TOLONG DI PERCEPAT DAN DI PERBANYAK LAGI UNTUK DRIVERNYA, PADAHAL LOKASI TINGGAL SAYA SUDAH MEMASUKI DAERAH PERKOTAAN",2025-12-06,1,negatif
Muhammad Fachrul Rizqy,1,"Gofoodnya mahal padahal langganan dan gabisa qris, better grab utk payment method dan shopeefood utk diskonnya",2025-12-06,1,negatif
Aa Donny,5,sistem terpercaya dan mudah di mengerti.Membuat hidup lebih mudah,2025-12-06,0,positif
Sugesti Pangestika,4,"tolong dong gojek...kalok buat gofood...kira"" kalok susah nyari driver waktu pembatalan jangan sejam gtu..jadi biar gak php kita mesen tempat laen...takutnya kalok kita mksa tempat laen tiba"" dapat driver detik"" terakhir",2025-12-06,0,positif
Mr Mild,1,seharusnya di aplikasi gojek nya dikasi alasan kenapa driver minta cancel orderan!!! kebanyakan driver sekarang sengaja menjauh dari titik jemput biar penumpang sengaja cancel orderannya!!!,2025-12-06,1,negatif
dibyo sakti,5,mantap josssshhhh,2025-12-06,0,positif
amireallyurlove?,3,"jujur ini aplikasi bagus bgt, cuma saya paling ga suka sama driver2 ojolnya...hampir dari mereka semua itu pilih pilih transaksi maunya diatas 25rb sedangkan jarak antar saya dan jarak jemput saya tuh ga jauh jauh bgt, ditambah klo transaksinya dibawah 20rb tuh sering bgt di cancel sama drivernya, terutama driver gocar. tolong min, cari solusinya agar gocar tetep murmer tpi mau gimana pun caranya drivernya gocar hrs mau!",2025-12-06,0,netral
Fachri Afriandi,5,mantapppss,2025-12-06,0,positif
Tuktak Official,1,1 jam ga dapat juga drivernya,2025-12-06,0,negatif
Lancar moshadar,5,"tarif skarang sudah murah mohon dipertahankan agar bisa bersaing, terimakasih",2025-12-06,0,positif
sujitno syakur,5,recommended,2025-12-06,0,positif
Ali Nainggolan,5,oke...bagus sekali...,2025-12-06,0,positif
Azzahra Nafieza Hafid,5,driver'a on time,2025-12-06,0,positif
Lia Amelia,5,sangat bagus dan bnyak promonya,2025-12-06,0,positif
Ucup Ucup2,1,"voucher diskon yg di terapkan tidak sesuai,pengalaman saya pesen gojek car,jujur kasian sopirnya merugikan,jadi saya bayar sesuai jarak aja,tdk mempedulikan voucher dll.",2025-12-06,0,negatif
Iju Ijah,3,susah KLO LG cuacaendung,2025-12-06,0,netral
Hendrixz Hendro H,5,sangat membantu saya good,2025-12-06,0,positif
Ludvia Intan,1,"nunggu hampir 2 jam tiap dpt driver nunggu lbh dari 30menit harus nganter penumpanh lama, jelek bgt sistemnya",2025-12-06,0,negatif
석수김,1,"ongkirnya ga ngotak jir, padahal ga nyampe 1km",2025-12-06,0,negatif
Aku Lagi,5,nyaman menyenangkan,2025-12-06,0,positif
Lutpi AL,5,mantap pokonamah,2025-12-06,0,positif
Taufiq Husni,1,gojek plus lebih mahal daripada ga langganan tu gimana coba? ngapain langganan voucher kalo ga langganan aja lebih murah😹,2025-12-06,0,negatif
Bagas Ardi,1,bagian chat sering nge bug,2025-12-06,1,negatif
Hilman Hasbi,1,"salah topup tidak bisa diclaim, padahal ada bukti nya. mau lapor ke CS juga tidak bisa, hanya bisa chat dengan mesin. aplikasi terindikasi menggunakan klausula baku, karena menghilangkan tanggung jawab atas kerugian konsumen. tidak sesuai dengan UU Perlindungan Konsumen.",2025-12-06,0,negatif
Firdaus Akbar,5,Luar biasa,2025-12-06,0,positif
Alhamzi Gulfam,5,"mantan ,aplk nya cepat . tpi tlong klo nisa diskon nya gede gedean dong , masa cuman 1000",2025-12-06,0,positif
Achmad Ashrofi,5,"semoga promonya bisa diperbanyak, terutama di kota-kota kecil",2025-12-06,0,positif
Mal Sanjaya,5,cukup membantu sekali,2025-12-06,0,positif
Agustinus Guswanto,5,pelayanan 👍👍,2025-12-06,0,positif
Godbreak godbreak,1,"penagihan gopay pinjam nya kurang sopan ,kasar semua ,tidak ada etika sama sekali ,seperti kurang di didik ,belum jatuh tempo aja sudah telpon2 ,kalau telat 1 hari aja bicara nya kasar .,tidak rekomendasi sama sekali 😡😡😡",2025-12-06,0,negatif
Nimatul Khoeriyah,5,sangat bagus dann hemat ongkos,2025-12-06,0,positif
5. I Gede Dirayasa Antara,5,mantap anjay,2025-12-06,0,positif
Elisabeth,5,"layanan nya bagus dan driver nya cepat, untuk di daerah kab tegal layanan nya sampai mana saja ya",2025-12-06,0,positif
Anggie Anggi,2,beli paket data tdk sesuai..beli 22 GB yg masuk hanya 7gb JD takut transaksi di gopay,2025-12-06,0,negatif
Anika Sari,4,banyak banyakin promo ya min xixixi,2025-12-06,0,positif
Joko Priyono,2,"order mie ayam tp drivernya di dobelin order beda resto, bikin mie ayam jd bengkak, hadehhhh klo mau dobelin orderan jngn beda resto. bikin lama saja. pesen resto di jln kesehatan tp tiba2 driver ada di jln ir. juanda jauhnya kelewatan",2025-12-06,1,negatif
Heri Wardyan Saputro,1,"mesen 1 malah tiba²double order, ngaco",2025-12-06,1,negatif
NAUFAL 〣RIZQULLAH,1,"drivernya banyak yang tidak jelas. suka dibatalin gak jelas, atau suka minta customer batalin orderan. susah buat cari mobil, itu pun kalo ada, bakal seperti apa yang saya bilang tadi di awal.",2025-12-06,0,negatif
darmawan rendi,5,Sangat Membantu Di Saat Urgent,2025-12-06,0,positif
Murni Suciati,5,sangatt baguss,2025-12-06,0,positif
Elaizan Ramadhan,1,"jelek bgt uang saya nyangkut di sini, udah saya lapor sama isi pertanyaan nya dari awal sampai akhir malah di puter"" terus ga di tanggapi lagi",2025-12-06,0,negatif
Iis Susilawati,1,"Transaksi Baru 1 detik gak bisa dibatiln, Dengan alasan pesanan sudah disiapkan,Driver Sudah bersiaplah, Padahal baru 1Detik Itupun Karena Kepencet salah pesen Kok, mana Udah disiapkan smpai saat ini Belum sampai Udah 1 Jam kaga Dateng Dateng, Katanya udah disiapin, Gak jelas, Saya uninstal Aja gak guna",2025-12-06,0,negatif
Hanif Saputra,5,"bagussss bgd tapi tolong driver nya jangan yg tua"" suka marah"" ga jelass",2025-12-06,0,positif
Fahrizal Nugraha10,5,aplikasi mudah di gunakan,2025-12-06,0,positif
Nur Azmi Zaki,5,"Saya sering memakai gofood untuk membeli makanan, dan itu sangat membantu saya. Terimakasih GOJEK🙏",2025-12-06,0,positif
Pengen Gacor,5,tingkatkan lagi keamanan,2025-12-06,0,positif
Rinaldi Nurdin,1,"susah banget dapat driver kalau hujan, padahal tarif sudah naik. apk sebelah gampang² aja mau hujan juga",2025-12-06,0,negatif
Alesha Dona,2,gopay latter saya di bekukan dn GO-PAY pinjam saya terkunci padahal sya membayar tepat wkt atau bahkan sblm wktnya sdh saya bayar,2025-12-06,0,negatif
Ayu Dira,5,sangat UWOW,2025-12-06,0,positif
Virly Kusuma wijaya,5,Mudah mudahan tetap jadi yang terbaik bagi konsumen. Dan juga MENSEJAHTERAKAN DRIVERNYA,2025-12-06,0,positif
